Name,Surname,Application type,Task,Status,Assignee,Due date,Priority,Completed,Description,Attach file,Updated at,Effort level
Mark,Calitz, Expungement assist,Application Received,Done,L.Potgieter,28/03/2026,High,Yes,Application recieved from Tally,,28/03/2026,
,,,Payment Confirmed, Done,Yoco,28/03/2026,High,Yes,Payment confirmed via Yoco/EFT,,28/03/2026,High
,,,Preparing Documents,In progress,MP Vorster,01/04/2026,High,No,Preparing all documents as requested,,28/03/2026,Medium
,,,Quality Assurance ,Not started,Johan De Beer,01/04/2026,High,No,Quality check on all documents,,28/03/2026,High
,,,Documents Ready,Not started,MP Vorster,01/04/2026,High,No,Documents finalized and approved,,28/03/2026,


,,,Documents sent, Not started,L.Potgieter,01/04/2026,High,No,Documents sent to client,,28/03/2026,








































