Name,Surname,Application type,Task,Status,Assignee,Due date,Priority,Completed,Description,Attach file,Updated at,Effort level
MNYAZWA, MSIZA - 0 Credits available, Section 13,Application Received,Done,L Potgieter,01/09/2026,High,Yes,Application recieved from Tally,,01/09/2026,
,,,Payment Confirmed,Done,Credits,01/09/2026,High,Yes,Payment confirmed via,Credits,01/09/2026,High
,,,Preparing Documents,Done,MP Vorster,03/09/2026,High,No,Preparing all documents as requested,,01/09/2026,Medium
,,,Quality Assurance Review, Done,Johan De Beer,03/09/2026,High,No,Quality check on all documents,,01/09/2026,High
,,,Documents Ready,Done,L. Potgieter,03/09/2026,High,No,Documents finalized and approved,,01/09/2026,

,,,Documents sent,Done,L Potgieter,03/09/2026,High,No,Documents sent to client,,01/09/2026,









































